[2026-07-13 00:29:01.819] [info]  [Renderer Info] User input: Clicked button "Play"
[2026-07-13 00:29:01.963] [info]  startPlayback: Executing audio source start commands. audInstStartAt=1.72, monInstStartAt=1.6906666666666668, instOffset=0, audVocStartAt=1.72, monVocStartAt=1.6906666666666668, vocOffset=0
[2026-07-13 00:29:01.965] [info]  [Renderer Info] startPlayback: Executing audio source start commands. audInstStartAt=1.72, monInstStartAt=1.6906666666666668, instOffset=0, audVocStartAt=1.72, monVocStartAt=1.6906666666666668, vocOffset=0
[2026-07-13 00:29:01.966] [info]  startPlayback: Success
[2026-07-13 00:29:01.967] [info]  [Renderer Info] startPlayback: Success
[2026-07-13 00:29:16.117] [info]  User input: Updated config keys: offsetMs=-10
[2026-07-13 00:29:16.117] [info]  [Renderer Info] User input: Updated config keys: offsetMs=-10
[2026-07-13 00:29:16.117] [info]  Live playback parameter changed. Triggering audio graph rebuild via seekTo().
[2026-07-13 00:29:16.118] [info]  [Renderer Info] Live playback parameter changed. Triggering audio graph rebuild via seekTo().
[2026-07-13 00:29:16.118] [info]  User input: seekTo 14.29s
[2026-07-13 00:29:16.118] [info]  [Renderer Info] User input: seekTo 14.29s
[2026-07-13 00:29:16.119] [info]  startPlayback: Initiated
[2026-07-13 00:29:16.119] [info]  [Renderer Info] startPlayback: Initiated
[2026-07-13 00:29:16.120] [info]  startPlayback: Ensuring AudioContexts are built
[2026-07-13 00:29:16.120] [info]  [Renderer Info] startPlayback: Ensuring AudioContexts are built
[2026-07-13 00:29:16.120] [info]  Backend: Saving song config for "2"
[2026-07-13 00:29:16.121] [info]  startPlayback: Stopping existing sources
[2026-07-13 00:29:16.121] [info]  [Renderer Info] startPlayback: Stopping existing sources
[2026-07-13 00:29:16.121] [info]  startPlayback: Connecting backing track to audience
[2026-07-13 00:29:16.121] [info]  [Renderer Info] startPlayback: Connecting backing track to audience
[2026-07-13 00:29:16.122] [info]  startPlayback: Connecting backing track to monitor
[2026-07-13 00:29:16.122] [info]  [Renderer Info] startPlayback: Connecting backing track to monitor
[2026-07-13 00:29:16.123] [info]  startPlayback: Connecting vocal track to monitor
[2026-07-13 00:29:16.123] [info]  [Renderer Info] startPlayback: Connecting vocal track to monitor
[2026-07-13 00:29:16.123] [info]  startPlayback: Starting Mic Input
[2026-07-13 00:29:16.124] [info]  [Renderer Info] startPlayback: Starting Mic Input
[2026-07-13 00:29:16.132] [info]  User input: Updated config keys: offsetMs=-20
[2026-07-13 00:29:16.133] [info]  [Renderer Info] User input: Updated config keys: offsetMs=-20
[2026-07-13 00:29:16.133] [info]  Backend: Saving song config for "2"
[2026-07-13 00:29:16.267] [info]  startPlayback: Executing audio source start commands. audInstStartAt=16.029333333333334, monInstStartAt=15.989333333333333, instOffset=14.290666666666665, audVocStartAt=16.029333333333334, monVocStartAt=15.989333333333333, vocOffset=14.290666666666665
[2026-07-13 00:29:16.267] [info]  [Renderer Info] startPlayback: Executing audio source start commands. audInstStartAt=16.029333333333334, monInstStartAt=15.989333333333333, instOffset=14.290666666666665, audVocStartAt=16.029333333333334, monVocStartAt=15.989333333333333, vocOffset=14.290666666666665
[2026-07-13 00:29:16.269] [info]  startPlayback: Success
[2026-07-13 00:29:16.269] [info]  [Renderer Info] startPlayback: Success
[2026-07-13 00:29:16.270] [info]  User input: Updated config keys: offsetMs=-60
[2026-07-13 00:29:16.270] [info]  [Renderer Info] User input: Updated config keys: offsetMs=-60
[2026-07-13 00:29:16.270] [info]  Backend: Saving song config for "2"
[2026-07-13 00:29:16.520] [info]  Backend: Saving song config for "2"
[2026-07-13 00:29:47.314] [info]  User input: Updated config keys: routeVocalToAudience=true
[2026-07-13 00:29:47.315] [info]  [Renderer Info] User input: Updated config keys: routeVocalToAudience=true
[2026-07-13 00:29:47.315] [info]  Backend: Saving song config for "2"
[2026-07-13 00:29:47.566] [info]  Backend: Saving song config for "2"
[2026-07-13 00:29:54.834] [info]  User input: Updated config keys: routeVocalToAudience=false
[2026-07-13 00:29:54.835] [info]  [Renderer Info] User input: Updated config keys: routeVocalToAudience=false
[2026-07-13 00:29:54.835] [info]  Backend: Saving song config for "2"
[2026-07-13 00:29:55.087] [info]  Backend: Saving song config for "2"
